기능ID,대분류,중분류,소분류,상세내용,담당자,우선순위,진척율,시작일,완료예정일,완료일,유형,단위테스트,상태,프레임워크
홈,전체,홈페이지,메인페이지,홈페이지,박대성,❤️❤️❤️❤️❤️,90,2026년 1월 29일,2026년 1월 31일,2026년 1월 29일,추가,완료,개발완료,React
로그인 기능,회원,로그인,"로그인, 회원가입, 소셜로그인 기능",로그인 페이지,박대성,❤️❤️❤️❤️❤️,90,2026년 1월 29일,2026년 1월 31일,2026년 1월 29일,추가,완료,개발완료,React
탐색,전체,라우트,페이지,탐색 메인페이지,박대성,❤️❤️❤️❤️❤️,80,2026년 2월 2일,2026년 2월 6일,,추가,미완료,개발중,React
추천,전체,라우트,페이지,추천 메인페이지,박대성,❤️❤️❤️❤️❤️,50,2026년 2월 2일,2026년 2월 6일,,추가,미완료,개발중,React
챌린지,회원,라우트,페이지,챌린지 메인페이지,박대성,❤️❤️❤️❤️❤️,30,2026년 2월 2일,2026년 2월 6일,,추가,미완료,개발중,React
레이아웃,전체,구조,Layout,"PageContainer 도입, Header Gap 수정",박대성,❤️❤️❤️❤️❤️,100,2026년 2월 2일,2026년 2월 2일,2026년 2월 2일,수정,완료,개발완료,React
네비게이션,전체,컴포넌트,Top/SideNav,"컴포넌트 분리, 반응형 로직, WDS 적용",박대성,❤️❤️❤️❤️❤️,100,2026년 2월 2일,2026년 2월 2일,2026년 2월 2일,수정,완료,개발완료,React
홈,전체,페이지,Homepage,Bento Grid 레이아웃 적용,박대성,❤️❤️❤️❤️❤️,100,2026년 2월 2일,2026년 2월 2일,2026년 2월 2일,수정,완료,개발완료,React
탐색,전체,페이지,Explore,"WDS 컬러/토큰 적용, 레이아웃 페이지화",박대성,❤️❤️❤️❤️,100,2026년 2월 2일,2026년 2월 2일,2026년 2월 2일,수정,완료,개발완료,React
공통,전체,코드,Codebase,"Barrel Pattern, 레거시 청산, 에러 수정",박대성,❤️❤️❤️❤️❤️,100,2026년 2월 2일,2026년 2월 2일,2026년 2월 2일,수정,완료,개발완료,React
공통,"전체 ",코드,Codebase,레거시 파일 추가 삭제 및 코드 컨벤션 재반영,박대성,❤️❤️❤️❤️❤️,,2026년 2월 2일,2026년 2월 3일,2026년 2월 3일,수정,완료,개발완료,React
FE-NOTI-001,회원,컴포넌트,오버레이,로그인 후 알림 기능 (투표/결제 승인),박대성,❤️❤️❤️❤️❤️,100,2026년 2월 3일,2026년 2월 3일,2026년 2월 3일,추가,완료,개발완료,React
FE-DOM-001,공통,코드,Codebase,도메인 타입 정의 (API Spec 1.0.0 반영),박대성,❤️❤️❤️❤️❤️,100,2026년 2월 3일,2026년 2월 3일,2026년 2월 3일,수정,완료,개발완료,TypeScript
FE-API-001,회원,로직,API,알림 Mock API 및 React Query Hooks,박대성,❤️❤️❤️❤️❤️,100,2026년 2월 3일,2026년 2월 3일,2026년 2월 3일,추가,완료,개발완료,ReactQuery
FE-UI-001,전체,스타일,UI,사이드바 및 프로필 메뉴 폰트 크기 상향,박대성,❤️❤️❤️❤️,100,2026년 2월 3일,2026년 2월 3일,2026년 2월 3일,수정,N/A,개발완료,CSSModules
FE-UI-002,전체,스타일,UI,전역 페이지 배경색 변경 (Grey50 -> White),박대성,❤️❤️❤️❤️,100,2026년 2월 3일,2026년 2월 3일,2026년 2월 3일,수정,N/A,개발완료,CSS
FE-NAV-001,전체,컴포넌트,TopNav,네비게이션 알림 아이콘 연동,박대성,❤️❤️❤️❤️❤️,100,2026년 2월 3일,2026년 2월 3일,2026년 2월 3일,수정,완료,개발완료,React